id,name,position,team,preseason_rank,current_rank,GP,G,A,+/-,PIM,SOG,FW,HIT
5980,Nathan MacKinnon,C,Col,2,1,52,27,43,10,18,239,295,37
3637,Alex Ovechkin,LW,Was,5,2,56,34,26,3,24,223,1,146
6743,Connor McDavid,C,Edm,1,3,55,29,51,-1,20,175,277,26
6728,Artemi Panarin,LW,NYR,4,4,55,24,44,23,14,160,1,17
6369,Leon Draisaitl,"C,LW",Edm,3,5,56,34,45,-2,30,164,504,29
6744,Jack Eichel,C,Buf,6,6,54,26,35,2,22,211,452,37
7109,Auston Matthews,C,Tor,7,7,50,31,24,12,7,198,358,28
4351,Brad Marchand,LW,Bos,19,8,52,21,41,15,57,140,20,35
6777,Sebastian Aho,C,Car,9,9,56,28,35,10,18,172,317,46
3737,Sidney Crosby,C,Pit,11,10,54,22,42,5,27,148,662,45
4240,Patrick Kane,RW,Chi,10,12,56,25,39,3,24,206,1,15
7900,Andrei Svechnikov,"LW,RW",Car,12,13,56,21,32,7,41,155,0,94
3641,Blake Wheeler,"C,RW",Wpg,35,14,56,16,44,1,31,162,206,73
5367,Mika Zibanejad,C,NYR,13,15,49,26,29,5,15,166,502,67
6746,Mitchell Marner,RW,Tor,17,17,56,17,46,8,16,152,9,22
6752,Mikko Rantanen,RW,Col,14,18,51,22,39,5,26,138,43,33
4261,Max Pacioretty,LW,VGK,29,19,52,22,23,7,30,205,31,72
5376,J.T. Miller,"LW,RW",Van,33,20,55,20,33,7,30,126,314,92
4471,Steven Stamkos,"LW,RW",TB,23,21,51,24,33,9,19,143,324,44
4681,John Tavares,C,Tor,27,22,56,26,31,3,19,180,563,30
7110,Patrik Laine,"LW,RW",Wpg,21,23,56,24,29,5,19,167,8,69
7520,Elias Pettersson,C,Van,15,24,54,22,33,10,14,126,67,52
6448,Brayden Point,C,TB,22,27,54,22,33,18,15,121,322,20
6391,David Pastrnak,RW,Bos,46,28,43,25,28,7,20,156,3,29
4682,Victor Hedman,D,TB,18,29,51,10,33,20,30,126,0,58
3638,Evgeni Malkin,C,Pit,25,30,47,20,39,8,45,141,348,33
7114,Matthew Tkachuk,"LW,RW",Cgy,28,32,54,22,31,2,53,155,1,86
4503,John Carlson,D,Was,24,33,56,10,43,10,20,141,0,38
4930,Roman Josi,D,Nsh,32,35,54,10,35,12,27,187,0,41
6057,Jake Guentzel,"LW,RW",Pit,20,37,56,26,29,8,19,156,30,74
5698,Teuvo Teravainen,"LW,RW",Car,43,39,56,15,38,16,10,130,19,19
3383,Patrice Bergeron,C,Bos,39,42,47,22,24,15,19,141,579,32
7902,Brady Tkachuk,LW,Ott,36,43,55,16,18,-8,76,188,103,214
5364,Jonathan Huberdeau,LW,Fla,26,45,56,18,41,2,24,130,18,37
5470,Johnny Gaudreau,"LW,RW",Cgy,47,46,56,19,42,4,16,155,1,4
5363,Gabriel Landeskog,"C,LW",Col,30,47,51,20,26,7,39,139,241,83
4786,Ryan O'Reilly,C,StL,50,48,56,18,35,10,7,157,715,16
5370,Dougie Hamilton,D,Car,41,50,56,12,22,14,39,182,0,71
5369,Sean Couturier,C,Phi,48,51,54,20,30,10,22,152,430,43
4002,Claude Giroux,"C,LW",Phi,60,52,56,16,33,7,20,154,514,31
5152,Mark Stone,RW,VGK,42,53,51,17,31,11,20,129,14,44
5981,Aleksander Barkov,C,Fla,44,54,54,19,36,3,14,144,567,18
5120,Brendan Gallagher,RW,Mon,55,55,54,21,17,7,30,203,17,57
5712,Jonathan Marchessault,"C,LW",VGK,81,57,53,18,22,3,27,181,62,73
3358,Brent Burns,D,SJ,53,58,56,10,34,-3,24,180,0,57
5928,Anders Lee,LW,NYI,77,59,56,21,17,9,37,146,64,78
7498,Neal Pionk,D,Wpg,80,61,52,4,29,8,24,118,0,111
5984,Elias Lindholm,"C,RW",Cgy,58,62,56,21,25,3,16,128,317,69
5368,Mark Scheifele,C,Wpg,45,63,54,23,33,3,29,129,478,29
6759,Kyle Connor,LW,Wpg,66,64,54,27,25,2,21,168,2,11
4519,Jamie Benn,"C,LW",Dal,104,65,56,18,18,4,38,131,195,122
